Name,SID,Email,Zone,Total Score,Status,Submission ID,Submission Time,Lateness,View Count,Part One, Part Two, Part Three
Jessy Cronin,cronij,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0
Helena Feest,feesth,email@rpi.edu,B,25,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,5.0
Raquel Frami,framir,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0
Gordon Hauck,hauckg,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0
Walter Legros,legrow,email@rpi.edu,E,10,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,0.0,5.0
Alex Brown,browna,email@rpi.edu,F,5,Graded,1338500,1970-01-01 00:00:00-0000,0,0,1.0,1.0,3.0
Sally Billy Bob Jones,joness,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Horacio Muller,mulleh,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0 	
Vince Barrows,barrov,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0 					
Catalina Ferry,ferryc,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Kiana Olson,olsonk,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Josephine Schinner,schinj,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Amelia Schowalter,schowa,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Hellen Volkman,volkmh,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Gordon Ankunding,ankung,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Bernardo Bechtelar,bechtb,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Nora Cronin,cronin,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Michele Hamill,hamilm,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
Dillon Hammes,hammed,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
