Given Name,Family Name,User ID,Email,Secondary Email,UTC Offset,Time Zone,Registration Section,Registration Subsection,Rotation Section,Group
Gretchen,Adams,adamsg,adamsg@example.com,,NOT SET,NOT SET,"1","",1,Student
Alyssa P,Hacker,aphacker,alyssaphacker@example.com,,NOT SET,NOT SET,"1","",NULL,Student
Foster,Beahan,beahaf,beahaf@example.com,,NOT SET,NOT SET,"1","",NULL,Student
Ben,Bitdiddle,bitdiddle,bitdiddle@example.com,,NOT SET,NOT SET,"1","",NULL,Student
Dannie,Farrell,farred,farred@example.com,,NOT SET,NOT SET,"1","",1,Student
Adan,Fisher,fishea,fishea@example.com,,NOT SET,NOT SET,"1","",1,Student
Eunice,Hamill,hamile,hamile@example.com,,NOT SET,NOT SET,"1","",1,Student
Edison,King,kinge,kinge@example.com,,NOT SET,NOT SET,"1","",1,Student
Justice,Kuhic,kuhicj,kuhicj@example.com,,NOT SET,NOT SET,"1","",NULL,Student
Arnoldo,Ritchie,ritcha,ritcha@example.com,,NOT SET,NOT SET,"1","",1,Student
Ana,Senger,sengea,sengea@example.com,,NOT SET,NOT SET,"1","",1,Student
John,Smith,smithj,smithj@example.com,,NOT SET,NOT SET,"1","",NULL,Student
Joe,Student,student,student@example.com,,NOT SET,NOT SET,"1","",NULL,Student
Adela,Wisozk,wisoza,wisoza@example.com,,NOT SET,NOT SET,"1","",1,Student
Alex,Brown,browna,browna@example.com,,NOT SET,NOT SET,"2","",NULL,Student
Nola,Cummings,cummin,cummin@example.com,,NOT SET,NOT SET,"2","",2,Student
Mallie,Effertz,efferm,efferm@example.com,,NOT SET,NOT SET,"2","",2,Student
Jamey,Gorczany,gorczj,gorczj@example.com,,NOT SET,NOT SET,"2","",2,Student
Leonie,Gutmann,gutmal,gutmal@example.com,,NOT SET,NOT SET,"2","",NULL,Student
Colby,Heathcote,heathc,heathc@example.com,,NOT SET,NOT SET,"2","",2,Student
Sally,Jones,joness,joness@example.com,,NOT SET,NOT SET,"2","",NULL,Student
Meagan,Mills,millsm,millsm@example.com,,NOT SET,NOT SET,"2","",2,Student
Ebba,Mosciski,moscie,moscie@example.com,,NOT SET,NOT SET,"2","",2,Student
Francisca,Nitzsche,nitzsf,nitzsf@example.com,,NOT SET,NOT SET,"2","",2,Student
Fae,Parisian,parisf,parisf@example.com,,NOT SET,NOT SET,"2","",NULL,Student
Bonita,Rogahn,rogahb,rogahb@example.com,,NOT SET,NOT SET,"2","",2,Student
Selina,Balistreri,baliss,baliss@example.com,,NOT SET,NOT SET,"3","",NULL,Student
Annie,Boyer,boyera,boyera@example.com,,NOT SET,NOT SET,"3","",3,Student
Bradford,Connelly,conneb,conneb@example.com,,NOT SET,NOT SET,"3","",3,Student
Carlos,Fay,fayc,fayc@example.com,,NOT SET,NOT SET,"3","",3,Student
Dedric,Heidenreich,heided,heided@example.com,,NOT SET,NOT SET,"3","",3,Student
Jon,Howe,howej,howej@example.com,,NOT SET,NOT SET,"3","",3,Student
Kitty,Kuhn,kuhnk,kuhnk@example.com,,NOT SET,NOT SET,"3","",3,Student
Angela,Roberts,robera,robera@example.com,,NOT SET,NOT SET,"3","",3,Student
Francesco,Torphy,torphf,torphf@example.com,,NOT SET,NOT SET,"3","",3,Student
Kacey,Yundt,yundtk,yundtk@example.com,,NOT SET,NOT SET,"3","",NULL,Student
Heath,Bartell,barteh,barteh@example.com,,NOT SET,NOT SET,"4","",4,Student
Darren,Boehm,boehmd,boehmd@example.com,,NOT SET,NOT SET,"4","",4,Student
Toney,Gislason,gislat,gislat@example.com,,NOT SET,NOT SET,"4","",4,Student
Ena,Huel,huele,huele@example.com,,NOT SET,NOT SET,"4","",4,Student
Rollin,Jakubowski,jakubr,jakubr@example.com,,NOT SET,NOT SET,"4","",NULL,Student
Amari,Kuphal,kuphaa,kuphaa@example.com,,NOT SET,NOT SET,"4","",4,Student
Riley,Pfeffer,pfeffr,pfeffr@example.com,,NOT SET,NOT SET,"4","",4,Student
Jovanny,Prosacco,prosaj,prosaj@example.com,,NOT SET,NOT SET,"4","",NULL,Student
Antone,Schuster,schusa,schusa@example.com,,NOT SET,NOT SET,"4","",4,Student
Cary,Senger,sengec,sengec@example.com,,NOT SET,NOT SET,"4","",4,Student
Lia,Bins,binsl,binsl@example.com,,NOT SET,NOT SET,"5","",5,Student
Ellen,Blanda,blande,blande@example.com,,NOT SET,NOT SET,"5","",NULL,Student
Burdette,Conroy,conrob,conrob@example.com,,NOT SET,NOT SET,"5","",5,Student
Shirley,Dare,dares,dares@example.com,,NOT SET,NOT SET,"5","",5,Student
Verda,Emard,emardv,emardv@example.com,,NOT SET,NOT SET,"5","",5,Student
Linnea,Gaylord,gaylol,gaylol@example.com,,NOT SET,NOT SET,"5","",5,Student
Nathen,Hirthe,hirthn,hirthn@example.com,,NOT SET,NOT SET,"5","",5,Student
Toni,Lynch,lyncht,lyncht@example.com,,NOT SET,NOT SET,"5","",NULL,Student
Ford,Morissette,morisf,morisf@example.com,,NOT SET,NOT SET,"5","",5,Student
Laurine,Mueller,muelll,muelll@example.com,,NOT SET,NOT SET,"5","",5,Student
Aniyah,Berge,bergea,bergea@example.com,,NOT SET,NOT SET,"6","",1,Student
Kaci,Conn,connk,connk@example.com,,NOT SET,NOT SET,"6","",1,Student
Jane,Goldner,goldnj,goldnj@example.com,,NOT SET,NOT SET,"6","",NULL,Student
Gertrude,Grady,gradyg,gradyg@example.com,,NOT SET,NOT SET,"6","",1,Student
Willie,Huels,huelsw,huelsw@example.com,,NOT SET,NOT SET,"6","",1,Student
Herman,Kilback,kilbah,kilbah@example.com,,NOT SET,NOT SET,"6","",1,Student
Dangelo,O'Connell,oconnd,oconnd@example.com,,NOT SET,NOT SET,"6","",1,Student
Jammie,Senger,sengej,sengej@example.com,,NOT SET,NOT SET,"6","",1,Student
Richmond,Stiedemann,stiedr,stiedr@example.com,,NOT SET,NOT SET,"6","",1,Student
Carleton,Bahringer,bahric,bahric@example.com,,NOT SET,NOT SET,"7","",2,Student
Earnestine,Conroy,conroe,conroe@example.com,,NOT SET,NOT SET,"7","",2,Student
Dedric,Haley,haleyd,haleyd@example.com,,NOT SET,NOT SET,"7","",2,Student
Luz,Harber,harbel,harbel@example.com,,NOT SET,NOT SET,"7","",2,Student
Sammie,Hintz,hintzs,hintzs@example.com,,NOT SET,NOT SET,"7","",NULL,Student
Elissa,Kuhn,kuhne,kuhne@example.com,,NOT SET,NOT SET,"7","",2,Student
Giovanna,Nolan,nolang,nolang@example.com,,NOT SET,NOT SET,"7","",2,Student
Skye,Runolfsdottir,runols,runols@example.com,,NOT SET,NOT SET,"7","",2,Student
Brooklyn,Schuppe,schupb,schupb@example.com,,NOT SET,NOT SET,"7","",2,Student
Bettye,Buckridge,buckrb,buckrb@example.com,,NOT SET,NOT SET,"8","",3,Student
Catalina,Harvey,harvec,harvec@example.com,,NOT SET,NOT SET,"8","",3,Student
Jeanie,Kerluke,kerluj,kerluj@example.com,,NOT SET,NOT SET,"8","",3,Student
Skyla,Lehner,lehnes,lehnes@example.com,,NOT SET,NOT SET,"8","",3,Student
Evie,McCullough,mccule,mccule@example.com,,NOT SET,NOT SET,"8","",3,Student
Alexys,Renner,rennea,rennea@example.com,,NOT SET,NOT SET,"8","",3,Student
Ilene,Runolfsson,runoli,runoli@example.com,,NOT SET,NOT SET,"8","",3,Student
Maude,Russel,russem,russem@example.com,,NOT SET,NOT SET,"8","",3,Student
Kaylah,Zulauf,zulauk,zulauk@example.com,,NOT SET,NOT SET,"8","",NULL,Student
Laisha,Abernathy,abernl,abernl@example.com,,NOT SET,NOT SET,"9","",4,Student
Zula,Buckridge,buckrz,buckrz@example.com,,NOT SET,NOT SET,"9","",NULL,Student
